concept:academicfieldhassubfield	arg2 capture throughout arg1,3.0
concept:bodypartcontainsbodypart	arg1 flow through arg2 (CPL),233.08333333333334;arg2 carry from arg1 (CPL),211.77777777777777;arg2 fill with arg1 (CPL),102.75;arg2 weep arg1 (CPL),46.83333333333333;arg1 pump into arg2 (CPL),36.270833333333336;arg2 relax arg1 (CPL),33.6;arg1 constrict arg2 (CPL),21.107142857142858;arg2 connect arg1 (CPL),21.0;arg2 beat against arg1 (CPL),20.833333333333332;arg1 pump through arg2 (CPL),20.770833333333332;arg2 constrict arg1 (CPL),19.25;arg1 flow in arg2 (CPL),16.083333333333336;arg1 push against arg2 (CPL),4.166666666666667;arg2 oxygenate from arg1 (CPL),3.833333333333333;arg1 carry from arg2 (CPL),3.75;arg2 pound against arg1 (CPL),3.5;arg2 slam against arg1 (CPL),3.5;arg1 clog arg2 (CPL),2.75;arg1 empty into arg2 (CPL),2.0;arg1 border arg2 (CPL),2.0;arg1 pool in arg2 (CPL),1.5833333333333335;arg1 straddle arg2 (CPL),1.5;arg1 carry throughout arg2 (CPL),1.3333333333333333;arg2 thunder in arg1 (CPL),1.1666666666666667;arg1 suck from arg2 (CPL),1.0;arg1 pat on arg2 (CPL),0.5;arg1 join from arg2,233.16666666666669;arg2 bring from arg1,232.55555555555554;arg2 lie between arg1,192.33333333333334;arg2 move into arg1,180.5;arg1 move as arg2,173.59375;arg1 move into arg2,153.41666666666669;arg1 release into arg2,147.12500000000003;arg1 lead into arg2,141.41666666666669;arg2 cleanse arg1,137.63888888888889;arg2 lie within arg1,134.16666666666669;arg1 go towards arg2,132.82936507936506;arg2 release into arg1,127.54166666666667;arg1 seep into arg2,124.29166666666666;arg1 secrete into arg2,124.16666666666667;arg1 absorb from arg2,119.875;arg2 open into arg1,116.11111111111111;arg2 secrete into arg1,115.91666666666666;arg1 open into arg2,112.11111111111111
concept:bookwriter	arg2 warn in arg1 (CPL),206.75;arg2 publish arg1 (CPL),160.0;arg2 pen arg1 (CPL),144.68333333333334;arg1 write by arg2 (CPL),59.833333333333336;arg2 write by arg1 (CPL),48.69047619047619;arg1 begin by arg2 (CPL),31.21969696969697;arg2 portray in arg1 (CPL),28.685714285714283;arg2 outline in arg1 (CPL),18.92857142857143;arg2 remind in arg1 (CPL),5.5;arg2 dedicate in arg1 (CPL),2.0;arg2 expose in arg1 (CPL),2.0;arg1 author by arg2 (CPL),1.5;arg2 satirize in arg1 (CPL),1.0;arg2 rail in arg1 (CPL),0.8;arg2 describe in arg1,173.51666666666665;arg2 mention in arg1,169.75;arg2 understand in arg1,102.48809523809524;arg1 tell by arg2,94.08333333333333;arg2 weave into arg1,90.75;arg2 recount arg1,90.66666666666666;arg2 strip arg1,82.0;arg2 narrate arg1,78.8;arg2 admire arg1,77.99999999999999;arg2 state in arg1,76.93333333333334;arg2 incorporate into arg1,75.51190476190477;arg2 descend in arg1,73.0;arg2 suggest in arg1,60.375;arg2 create around arg1,55.25;arg2 deal in arg1,52.75694444444444
concept:buildingfeaturemadefrombuildingmaterial	arg2 glaze arg1 (CPL),97.33333333333333;arg2 carve arg1 (CPL),66.77380952380952;arg2 lover arg1 (CPL),1.3333333333333333;arg2 vault arg1 (CPL),1.3333333333333333;arg1 temper arg2 (CPL),1.1666666666666667;arg2 recess arg1 (CPL),1.0;arg2 wet arg1 (CPL),0.625;arg1 (passive) temper arg2 (CPL),0.5;arg2 plate arg1,187.07142857142858;arg2 shell arg1,86.56060606060606;arg2 polish arg1,58.541666666666664;arg2 fabricate arg1,35.21666666666667;arg2 leaf of arg1,30.166666666666668;arg2 seal for arg1,27.5;arg2 crimp arg1,25.666666666666668;arg1 defend by arg2,21.25;arg2 rise like arg1,20.5;arg1 fabricate arg2,19.46666666666667;arg2 machine arg1,15.75;arg2 handle for arg1,14.0;arg2 engineer arg1,4.166666666666667;arg2 band arg1,4.0;arg2 litter arg1,3.0;arg2 handle into arg1,3.0;arg1 pave with arg2,3.0;arg1 forge from arg2,2.0
concept:chemicalistypeofchemical	arg1 mix with arg2 (CPL),177.75;arg2 compete against arg1 (CPL),139.95238095238096;arg2 mix with arg1 (CPL),134.5;arg2 produce from arg1 (CPL),97.16666666666667;arg1 emit arg2 (CPL),95.0;arg2 (passive) make from arg1 (CPL),75.83333333333333;arg1 compose of arg2 (CPL),41.63333333333333;arg2 chlorinate arg1 (CPL),27.0;arg2 form of arg1 (CPL),23.0;arg2 stink arg1 (CPL),6.5;arg1 (passive) produce in arg2 (CPL),1.5;arg2 dissolve in arg1,454.404761904762;arg1 dissolve in arg2,425.41666666666663;arg1 act as arg2,281.0;arg2 taste like arg1,244.25;arg1 taste like arg2,238.0;arg1 dissolve arg2,215.91666666666666;arg1 speed arg2,186.0;arg2 (passive) compose of arg1,183.58642857142857;arg1 (passive) compose of arg2,172.97476190476192;arg1 smell like arg2,165.25;arg2 infuse arg1,158.0916666666667;arg1 oxidize arg2,154.25;arg2 oxidize arg1,153.25;arg2 act as arg1,153.0;arg2 seep into arg1,138.78434343434344;arg2 smell like arg1,138.5;arg2 can arg1,135.51666666666668
concept:cityalsoknownas	arg2 terrorize arg1,3.3333333333333335;arg1 call as arg2,1.0
concept:citycapitalofcountry	arg1 grow between arg2 (CPL),26.000000000000004;arg1 win against arg2 (CPL),3.0;arg1 quit on arg2 (CPL),2.0;arg1 lead from arg2,964.4166666666666;arg1 base in arg2,356.45833333333337;arg1 post by arg2,215.0;arg1 press arg2,182.83333333333331;arg1 cooperate with arg2,173.66666666666666;arg2 base in arg1,173.04166666666666;arg1 promote in arg2,169.63888888888886;arg1 impose on arg2,156.41666666666669;arg1 mount on arg2,138.86111111111111;arg1 seek with arg2,138.54999999999998;arg1 teach from arg2,127.41666666666667;arg2 intercept arg1,124.83333333333333;arg1 investigate in arg2,116.21666666666665;arg1 present from arg2,108.45833333333333;arg1 sign at arg2,103.45952380952382;arg1 present for arg2,100.65;arg1 withdraw on arg2,91.29166666666667;arg1 help at arg2,88.0;arg2 unveil in arg1,84.1;arg1 shoot in arg2,82.92916666666666
concept:cityliesonriver	arg2 flow through arg1 (CPL),407.1666666666667;arg2 split arg1 (CPL),104.0;arg1 straddle arg2 (CPL),19.0;arg2 fall near arg1 (CPL),2.0;arg1 lie on arg2,208.25;arg2 drain into arg1,143.75;arg1 (passive) found on arg2,110.41666666666667;arg2 flow at arg1,106.33333333333333;arg1 (passive) situate on arg2,95.92142857142858;arg2 enter at arg1,82.91666666666666;arg1 cruise arg2,80.38571428571429;arg1 lie along arg2,74.75;arg1 form from arg2,68.66666666666667;arg2 run along arg1,64.58333333333334;arg2 sail from arg1,52.93333333333334;arg1 situate on arg2,52.25;arg2 drain from arg1,50.166666666666664;arg2 sail for arg1,44.0;arg1 fall with arg2,43.666666666666664;arg1 sit on arg2,41.0;arg1 flow at arg2,38.0;arg2 flow on arg1,33.5
concept:clothingmadefromplant	arg2 feel under arg1,0.6666666666666666;arg2 wreck on arg1,0.5
concept:clothingtogowithclothing	arg1 tuck into arg2 (CPL),696.209523809524;arg2 tuck into arg1 (CPL),681.4761904761906;arg2 skirt arg1 (CPL),348.8333333333333;arg1 skirt arg2 (CPL),340.5;arg2 wear with arg1 (CPL),250.36666666666665;arg1 wear with arg2 (CPL),233.7;arg2 tie with arg1 (CPL),194.95833333333331;arg1 tie with arg2 (CPL),184.79166666666669;arg1 tuck in arg2 (CPL),152.76190476190473;arg1 dye arg2 (CPL),124.69047619047618;arg2 tuck in arg1 (CPL),119.5952380952381;arg2 dye arg1 (CPL),116.10714285714286;arg1 wear under arg2 (CPL),88.5;arg1 sweat arg2 (CPL),85.92063492063491;arg2 toe arg1 (CPL),85.83333333333334;arg1 toe arg2 (CPL),74.4047619047619;arg2 sweat arg1 (CPL),67.34920634920634;arg1 collar arg2 (CPL),56.0;arg2 collar arg1 (CPL),55.5;arg1 wear without arg2 (CPL),30.0;arg2 (passive) tuck into arg1 (CPL),24.0;arg2 button arg1 (CPL),24.0;arg2 heel arg1 (CPL),24.0;arg1 (passive) tuck into arg2 (CPL),23.5;arg1 heel arg2 (CPL),22.0;arg1 disguise as arg2 (CPL),20.708333333333332;arg1 button arg2 (CPL),20.0;arg1 skirt with arg2 (CPL),13.0;arg2 skirt with arg1 (CPL),13.0;arg1 match with arg2 (CPL),10.0;arg2 wear without arg1 (CPL),8.0;arg1 peg arg2 (CPL),6.5;arg1 (passive) tuck in arg2 (CPL),2.0;arg2 (passive) tuck in arg1 (CPL),2.0;arg2 have than arg1 (CPL),2.0;arg2 wet arg1 (CPL),1.0;arg1 tuck with arg2 (CPL),0.5;arg2 top arg1,465.0;arg1 top arg2,460.5;arg2 dress arg1,296.0833333333333;arg1 dress arg2,288.83333333333337;arg1 top with arg2,281.25000000000006;arg2 top with arg1,280.4166666666667;arg2 brand arg1,267.8333333333333;arg1 belt arg2,250.10000000000002;arg1 double as arg2,227.58333333333337;arg2 omen arg1,206.83333333333334;arg1 omen arg2,196.5;arg1 brand arg2,188.16666666666666
concept:coachesinleague	arg2 fine arg1 (CPL),4.0;arg1 coach in arg2 (CPL),1.5;arg1 hear from arg2,38.0;arg1 know around arg2,7.0;arg2 redistribute arg1,2.0
concept:coachesteam	arg2 interview arg1 (CPL),134.66666666666669;arg1 stay with arg2 (CPL),5.0;arg1 score as arg2 (CPL),1.0;arg1 remain with arg2,212.45;arg2 choose between arg1,126.9047619047619;arg1 land with arg2,100.08333333333333;arg1 stay at arg2,80.5;arg1 interview with arg2,73.33333333333334;arg1 head at arg2,42.46296296296296;arg1 play until arg2,31.5;arg1 coach with arg2,25.5;arg2 play since arg1,23.333333333333332;arg1 select over arg2,19.0;arg2 buy into arg1,17.5;arg1 revitalize arg2,12.0;arg2 end under arg1,4.0;arg2 need under arg1,4.0;arg2 tamper with arg1,4.0;arg1 interview for arg2,3.0;arg1 undertake with arg2,2.0;arg2 move under arg1,1.5
concept:coachwontrophy	arg1 hold of arg2,2.6666666666666665;arg1 interview after arg2,1.3333333333333333;arg1 retire on arg2,0.6666666666666666
concept:companyalsoknownas	arg2 (passive) list as arg1,49.25;arg2 join by arg1,42.333333333333336;arg2 incorporate as arg1,25.416666666666668;arg1 incorporate as arg2,10.166666666666668;arg1 embed into arg2,9.333333333333334;arg2 permit as arg1,3.0;arg1 join by arg2,2.6666666666666665;arg1 investigate at arg2,1.6666666666666667;arg2 attract as arg1,1.5;arg1 seek inside arg2,1.3333333333333333;arg2 unveil with arg1,0.6666666666666666
concept:companyeconomicsector	arg2 license in arg1 (CPL),14.75;arg1 finance arg2,179.75;arg2 conform with arg1,18.45;arg1 hoist arg2,18.0;arg2 (passive) sell in arg1,16.166666666666668;arg1 reinvent arg2,15.714285714285715;arg1 deregulate arg2,13.333333333333332;arg2 back through arg1,11.0;arg1 branch into arg2,4.285714285714286;arg2 rank with arg1,4.0;arg1 drive without arg2,2.0;arg1 get than arg2,1.5;arg2 stand throughout arg1,1.1111111111111112;arg1 click amidst arg2,1.0;arg2 manufacture as arg1,1.0;arg1 refurbish arg2,0.9333333333333333;arg1 seem of arg2,0.8;arg1 (passive) buy arg2,0.5555555555555556
concept:competeswith	arg2 have than arg1 (CPL),138.55333333333334;arg1 withdraw arg2 (CPL),61.66666666666667;arg1 keep at arg2 (CPL),41.76190476190476;arg1 have than arg2 (CPL),21.97;arg2 dismantle arg1 (CPL),7.833333333333333;arg1 compete with arg2 (CPL),7.0;arg1 overtake arg2 (CPL),4.0;arg1 win against arg2 (CPL),3.0;arg1 lose against arg2 (CPL),2.0;arg2 expose in arg1 (CPL),2.0;arg1 expose in arg2 (CPL),2.0;arg2 whoop on arg1 (CPL),1.6666666666666667;arg1 lag arg2 (CPL),1.3333333333333333;arg1 connect via arg2 (CPL),0.75;arg2 follow arg1,710.5;arg1 partner with arg2,385.93333333333334;arg1 team with arg2,381.95952380952383;arg2 team with arg1,352.56666666666666;arg1 sue arg2,214.0;arg1 force arg2,206.5;arg1 accuse arg2,161.16666666666669;arg1 compete against arg2,156.5;arg1 file against arg2,135.16666666666666;arg2 pressure arg1,132.1;arg2 find with arg1,119.0;arg1 go via arg2,112.82142857142857;arg2 produce for arg1,101.83333333333334;arg1 introduce with arg2,101.61111111111111;arg1 fire at arg2,101.33333333333334;arg2 announce by arg1,98.43333333333334;arg1 lash at arg2,96.3031746031746;arg1 find with arg2,93.25;arg1 come via arg2,91.375
concept:countryalsoknownas	arg1 lose against arg2 (CPL),15.61111111111111;arg2 woo arg1,126.61111111111111;arg1 register from arg2,10.694444444444445;arg2 agitate within arg1,2.0;arg2 advocate with arg1,1.3333333333333333;arg2 trounce arg1,0.8333333333333334;arg1 represent after arg2,0.8333333333333334;arg1 opt in arg2,0.75;arg2 show via arg1,0.75;arg1 suspend with arg2,0.6666666666666666;arg1 dupe arg2,0.5555555555555556;arg2 (passive) help in arg1,0.5333333333333333;arg1 rate for arg2,0.5
concept:countrycurrency	arg1 devalue arg2 (CPL),95.0;arg1 peg arg2 (CPL),87.49999999999999;arg1 revalue arg2 (CPL),29.166666666666668;arg1 do against arg2 (CPL),1.3333333333333333;arg2 drop as arg1,170.30952380952382;arg1 deploy in arg2,143.61904761904762;arg1 float arg2,132.33333333333334;arg2 go as arg1,118.0;arg1 lead as arg2,117.39444444444445;arg1 manipulate arg2,110.5952380952381;arg1 stabilize arg2,105.47222222222223;arg2 lose as arg1,78.03809523809524;arg1 trade in arg2,74.45833333333334;arg1 rise as arg2,68.22222222222223;arg1 result arg2,53.5;arg1 support from arg2,50.25;arg1 scrap arg2,42.3;arg1 prop arg2,29.0;arg1 undervalue arg2,24.333333333333332;arg1 afford in arg2,24.166666666666664;arg2 fall since arg1,22.5
concept:countrylocatedingeopoliticallocation	arg1 have than arg2 (CPL),144.72333333333333;arg1 border arg2 (CPL),15.166666666666668;arg1 pump into arg2 (CPL),12.75;arg2 finish behind arg1 (CPL),9.333333333333334;arg2 lose against arg1 (CPL),8.25;arg2 border arg1 (CPL),6.5;arg1 lose against arg2 (CPL),5.5;arg1 be against arg2 (CPL),5.25;arg2 dismantle arg1 (CPL),5.0;arg2 overtake arg1 (CPL),3.75;arg2 win against arg1 (CPL),3.0;arg1 outplay arg2 (CPL),3.0;arg1 play against arg2 (CPL),3.0;arg1 secede from arg2 (CPL),2.6666666666666665;arg1 expel arg2 (CPL),2.0;arg2 compete against arg1 (CPL),2.0;arg1 announce from arg2 (CPL),2.0;arg1 finish behind arg2 (CPL),1.6666666666666665;arg1 lag arg2 (CPL),1.5833333333333335;arg2 tie with arg1 (CPL),1.5;arg1 tie with arg2 (CPL),1.5;arg1 root for arg2 (CPL),1.5;arg1 jolt arg2 (CPL),1.5;arg1 open against arg2 (CPL),1.5;arg1 bind for arg2 (CPL),1.25;arg1 (passive) tie with arg2 (CPL),1.0;arg1 pummel arg2 (CPL),1.0;arg1 distance from arg2 (CPL),1.0;arg1 part with arg2 (CPL),0.5;arg1 import from arg2,506.1666666666667;arg2 occur as arg1,437.93333333333334;arg2 import from arg1,429.08333333333337;arg2 declare on arg1,367.0833333333333;arg2 join with arg1,259.98333333333335;arg1 maintain in arg2,235.65555555555557;arg2 declare from arg1,217.6;arg2 cooperate with arg1,216.33333333333334;arg1 urge in arg2,209.90476190476187;arg1 work alongside arg2,206.66666666666669;arg1 differ from arg2,205.83333333333334;arg1 forge arg2,201.83333333333331;arg1 condemn in arg2,201.43749999999997;arg2 maintain in arg1,194.9277777777778;arg1 march into arg2,188.75000000000003;arg1 attack arg2,187.77777777777777;arg1 (passive) situate in arg2,178.75714285714287;arg1 eclipse arg2,165.9333333333333;arg2 establish with arg1,163.75;arg1 reign in arg2,160.5574074074074
concept:directordirectedmovie	arg2 direct by arg1 (CPL),185.58333333333334;arg1 film in arg2,183.66666666666666;arg1 direct as arg2,12.166666666666666;arg1 fashion arg2,9.0;arg1 weave in arg2,6.5;arg1 triumph with arg2,3.5;arg1 shake on arg2,2.0;arg2 superimpose arg1,2.0;arg1 immortalize in arg2,1.5;arg1 dazzle with arg2,1.5;arg1 donate from arg2,1.5;arg1 attend with arg2,1.0;arg2 deserve since arg1,0.75;arg1 reboot arg2,0.75;arg1 copy in arg2,0.6666666666666666
concept:drughassideeffect	arg2 discontinue arg1,28.0;arg1 kill from arg2,24.0;arg1 discontiue arg2,2.5;arg2 rattle than arg1,1.5;arg1 cushion arg2,1.5;arg2 encounter with arg1,1.5;arg1 divert of arg2,1.5;arg1 suggest of arg2,0.75
concept:drugpossiblytreatsphysiologicalcondition	arg1 reduce from arg2 (CPL),85.5;arg1 belong arg2 (CPL),69.57142857142857;arg1 erectile arg2 (CPL),7.0;arg1 help against arg2 (CPL),2.0;arg1 ease arg2,120.5;arg1 boost with arg2,45.0;arg2 improve with arg1,29.791666666666664;arg1 lock for arg2,3.0;arg1 (passive) approve with arg2,3.0;arg1 know against arg2,2.5;arg1 encourage for arg2,2.0;arg1 prove against arg2,2.0;arg1 terminate like arg2,1.3333333333333333
concept:drugworkedonbyagent	arg2 withdraw arg1 (CPL),133.66666666666669;arg2 market arg1 (CPL),94.7891774891775;arg1 market by arg2 (CPL),17.125;arg2 pull for arg1,100.43928571428572;arg2 conduct with arg1,83.66666666666667;arg1 generate for arg2,69.83333333333333;arg2 trademark arg1,51.0;arg2 lie along arg1,46.33333333333333;arg2 spend for arg1,37.6;arg2 raise with arg1,32.89393939393939;arg2 derail in arg1,26.5;arg1 develop of arg2,15.0;arg2 face over arg1,12.6;arg2 consider of arg1,11.625;arg1 introduce by arg2,11.5;arg1 remove by arg2,10.666666666666666;arg1 pull by arg2,9.5;arg2 (passive) introduce arg1,6.5;arg2 market as arg1,5.5;arg2 concoct for arg1,5.0
concept:emotionassociatedwithdisease	arg1 release of arg2 (CPL),2.0;arg1 worsen arg2,169.65;arg1 exacerbate arg2,75.77666666666667;arg2 (passive) link with arg1,74.6;arg1 document arg2,70.3;arg1 (passive) define as arg2,43.626098901098906;arg1 coexist with arg2,35.0;arg1 exasperate arg2,11.6;arg1 merge from arg2,7.2;arg1 hamper with arg2,4.5;arg1 elicit arg2,3.0;arg1 evaluate for arg2,2.0;arg2 doctor arg1,2.0;arg1 experience as arg2,2.0;arg1 lapse arg2,1.5;arg2 affect like arg1,1.1666666666666667;arg1 recur arg2,1.0;arg2 attack of arg1,1.0;arg1 piece arg2,1.0;arg1 kill like arg2,1.0
concept:farmlocatedinstate	arg2 host arg1 (CPL),595.2777777777778;arg1 hatch arg2 (CPL),3.0;arg2 have whereas arg1,235.63333333333333;arg1 practice in arg2,222.75;arg2 (passive) combine with arg1,210.20918803418803;arg2 restore arg1,196.75;arg1 establish with arg2,190.75;arg1 head toward arg2,143.91666666666666;arg2 amount in arg1,136.76666666666665;arg1 commit in arg2,131.68333333333334;arg2 realestate arg1,129.58333333333334;arg2 walk around arg1,120.0;arg1 dispose of arg2,115.26190476190476;arg1 place with arg2,111.1468253968254;arg1 drive through arg2,97.66666666666667;arg1 expect in arg2,87.46428571428572;arg1 harvest arg2,84.90833333333333;arg1 convert in arg2,83.65595238095237;arg2 (passive) confuse with arg1,82.2;arg1 thrive arg2,82.1190476190476;arg1 log in arg2,54.80555555555556
concept:fishservedwithfood	arg1 cook with arg2 (CPL),1.0;arg1 flame with arg2,8.0
concept:foodcancausedisease	arg1 aggravate arg2 (CPL),240.72619047619048;arg1 elevate arg2 (CPL),36.89285714285714;arg2 cause by arg1 (CPL),3.0;arg1 provide against arg2 (CPL),1.5;arg1 avoid with arg2,563.8333333333334;arg1 trigger arg2,202.5;arg1 avoid for arg2,153.5;arg1 eat with arg2,145.5;arg1 induce arg2,119.0;arg1 eat for arg2,118.55555555555556;arg1 irritate arg2,92.75;arg1 precipitate arg2,35.5;arg2 trigger in arg1,27.642857142857142;arg1 benefit with arg2,23.0;arg1 heal from arg2,20.833333333333336;arg1 work against arg2,18.0;arg2 need than arg1,16.5;arg2 spy arg1,16.0;arg2 seem from arg1,13.333333333333334;arg1 worsen arg2,11.0;arg2 eliminate without arg1,5.0;arg2 alexi arg1,5.0
concept:fooddecreasestheriskofdisease	arg1 prevent arg2 (CPL),355.25;arg1 ward arg2 (CPL),159.75;arg1 combat arg2 (CPL),91.5;arg1 help against arg2 (CPL),30.000000000000004;arg1 reduce of arg2 (CPL),8.5;arg1 lower of arg2 (CPL),4.75;arg1 reduce from arg2 (CPL),2.25;arg1 sweat arg2 (CPL),1.75;arg1 relieve arg2,169.2;arg1 alleviate arg2,131.66666666666669;arg1 stave arg2,86.67857142857143;arg1 prevent from arg2,68.61666666666666;arg1 work against arg2,67.58333333333333;arg1 title arg2,56.93888888888889;arg1 heal arg2,50.0;arg1 soothe arg2,41.5;arg1 boost for arg2,31.125;arg1 infect with arg2,26.5;arg1 thwart arg2,24.666666666666668;arg2 (passive) control through arg1,23.75;arg1 absorb in arg2,23.0;arg1 attract into arg2,23.0;arg2 ease with arg1,21.75;arg1 suggest for arg2,20.2
concept:furniturefoundinroom	arg2 (passive) furnish with arg1 (CPL),58.3;arg2 furnish with arg1 (CPL),37.35;arg2 bunk arg1 (CPL),36.46666666666667;arg2 sleep in arg1 (CPL),32.111111111111114;arg2 wet arg1 (CPL),19.022222222222222;arg2 (passive) equip with arg1 (CPL),12.5;arg2 canopy arg1 (CPL),10.5;arg1 cost in arg2,53.885714285714286;arg1 bed in arg2,41.16666666666667;arg2 trundle arg1,41.03333333333334;arg2 function without arg1,23.833333333333332;arg2 have whilst arg1,23.5;arg2 help under arg1,16.666666666666664;arg2 utilize for arg1,16.416666666666664;arg2 accommodate in arg1,12.0;arg2 cushion arg1,11.333333333333334;arg2 invite with arg1,10.5;arg2 boast on arg1,7.5;arg2 queen-size arg1,6.2;arg2 recline arg1,6.0
concept:hasbrother	arg1 kill arg2 (CPL),384.0;arg1 rise against arg2 (CPL),90.05555555555554;arg1 murder arg2 (CPL),70.91666666666666;arg2 succeed arg1 (CPL),65.2;arg1 lay upon arg2 (CPL),41.85714285714286;arg1 slay arg2 (CPL),2.5;arg1 envy arg2 (CPL),2.5;arg2 expel arg1 (CPL),2.0;arg1 talk with arg2,197.65;arg1 shake with arg2,129.91666666666669;arg2 shake with arg1,113.42023809523809;arg2 fall after arg1,78.33333333333334;arg1 consecrate arg2,73.41666666666667;arg2 go before arg1,71.48888888888888;arg2 summon arg1,63.333333333333336;arg1 commission arg2,62.589285714285715;arg1 summon arg2,61.25;arg1 ordain arg2,54.93750000000001;arg2 command arg1,54.75;arg2 speak by arg1,52.55;arg2 make before arg1,49.666666666666664;arg2 pray arg1,49.349999999999994;arg2 murder arg1,48.16666666666667;arg1 command arg2,46.5
concept:hashusband	arg1 seduce arg2 (CPL),105.75;arg2 expel arg1 (CPL),72.91666666666666;arg2 commit with arg1 (CPL),63.33333333333333;arg2 divorce arg1 (CPL),37.5;arg1 cheat on arg2 (CPL),35.9;arg2 sin with arg1 (CPL),8.0;arg2 lust after arg1 (CPL),4.0;arg2 cohabit with arg1 (CPL),3.0;arg2 banish arg1 (CPL),2.0;arg2 want with arg1,151.5;arg1 laugh at arg2,62.33333333333333;arg1 long for arg2,54.833333333333336;arg1 commit with arg2,54.0;arg2 seduce arg1,45.0;arg1 snatch from arg2,29.42857142857143;arg2 quote by arg1,26.0;arg2 warn by arg1,22.75;arg1 revel in arg2,21.75;arg2 obtain by arg1,18.0;arg1 run after arg2,14.5;arg1 gaze at arg2,12.75;arg2 close before arg1,12.277777777777779;arg1 remark about arg2,10.0;arg2 lay with arg1,8.25
concept:hassister	arg2 trick arg1 (CPL),3.0;arg2 divorce arg1 (CPL),2.0;arg1 persuade arg2,177.93333333333334;arg1 hook with arg2,175.30555555555554;arg2 persuade arg1,120.33333333333333;arg2 do as arg1,119.00000000000001;arg1 pose with arg2,92.62878787878788;arg1 yell at arg2,91.85;arg1 garner arg2,86.5;arg1 bang arg2,81.1593253968254;arg1 brook arg2,80.33333333333333;arg1 descend into arg2,69.0;arg2 (passive) bear before arg1,56.666666666666664;arg1 comment about arg2,27.833333333333332;arg2 equate with arg1,27.0;arg1 dispel arg2,24.833333333333332;arg2 text arg1,16.833333333333336;arg2 deceive arg1,12.5;arg1 garner in arg2,11.5;arg2 tempt arg1,5.25;arg1 pound arg2,4.0;arg2 climb over arg1,3.5
concept:haswife	arg1 trick arg2 (CPL),68.91666666666666;arg1 expel arg2 (CPL),68.32272727272726;arg1 swallow arg2 (CPL),67.66666666666667;arg2 anoint arg1 (CPL),29.5;arg1 lay with arg2 (CPL),20.333333333333332;arg2 trick arg1 (CPL),5.0;arg1 cohabit with arg2 (CPL),3.0;arg1 banish arg2 (CPL),2.0;arg1 disguise as arg2 (CPL),0.6666666666666666;arg2 star as arg1,159.16666666666666;arg1 play with arg2,144.16666666666666;arg1 star as arg2,137.33333333333331;arg1 harass arg2,136.16666666666666;arg1 sleep with arg2,111.6;arg1 marry arg2,108.6;arg1 order at arg2,101.33333333333333;arg1 tease arg2,89.11666666666666;arg1 transform arg2,86.0;arg2 comfort arg1,76.3;arg2 smack arg1,76.04285714285714;arg2 sleep with arg1,75.5;arg2 tease arg1,60.679166666666674;arg2 quiz arg1,45.166666666666664;arg1 appear before arg2,38.0;arg2 laud arg1,37.33333333333333;arg2 run after arg1,34.0
concept:headquarteredin	arg1 fly from arg2 (CPL),801.0;arg1 (passive) base in arg2 (CPL),384.6333333333333;arg1 headquarter in arg2 (CPL),215.63333333333333;arg1 connect via arg2 (CPL),168.69047619047618;arg1 count on arg2 (CPL),108.875;arg2 tour with arg1 (CPL),76.475;arg1 manufacture for arg2 (CPL),38.4;arg1 announce from arg2 (CPL),21.833333333333332;arg1 operate between arg2 (CPL),15.0;arg2 fine arg1 (CPL),4.888888888888889;arg1 devour arg2 (CPL),3.0;arg1 banish arg2 (CPL),2.3333333333333335;arg1 feed within arg2 (CPL),2.0277777777777777;arg2 ally arg1 (CPL),2.0;arg1 get against arg2 (CPL),0.8333333333333334;arg1 dedicate in arg2 (CPL),0.75;arg1 disguise as arg2 (CPL),0.6666666666666666;arg1 set in arg2,658.3083333333334;arg1 (passive) headquarter in arg2,636.2651515151515;arg1 stream over arg2,624.6642857142857;arg1 call over arg2,489.96666666666664;arg1 arrive from arg2,478.4166666666667;arg2 major in arg1,412.74999999999994;arg1 attend at arg2,342.16666666666663;arg1 fly between arg2,307.91666666666663;arg1 operate from arg2,300.78463203463195;arg1 lead past arg2,285.6611111111111;arg1 fly into arg2,277.5;arg1 expand into arg2,265.30185185185184;arg1 fly via arg2,254.6916666666667;arg1 adopt arg2,254.5;arg1 own in arg2,253.11666666666667;arg1 serve from arg2,251.33333333333334;arg1 launch from arg2,250.49999999999997;arg1 grow from arg2,245.15000000000003
concept:hotelincity	arg2 award at arg1,0.6666666666666666
